id,han_char,han_viet,meaning_short,polarity,name_safe,gender_hint,yin_yang_hint,vibe_tags,element_hint,priority,notes
74,眉,My,Lông mày đẹp,1,1,Nữ,Âm,nhỏ nhắn,xinh xắn,Mộc,4
75,美,Mỹ,Đẹp đẽ hoàn mỹ,2,1,Nữ,Dương,xinh đẹp,tuyệt vời,Thổ,5
76,南,Nam,Phương Nam ấm áp,2,1,Nam,Âm,phương hướng,mở rộng,Hỏa,5
77,娥,Nga,Xinh đẹp hằng nga,2,1,Nữ,Âm,mỹ nhân,duyên dáng,Thủy,5
78,银,Ngân,Bạc tiền của cải,2,1,Nữ,Âm,sung túc,trong trẻo,Kim,5
79,仪,Nghi,Dáng vẻ nghi thức,2,1,Nữ,Âm,trang trọng,lễ phép,Mộc,4
80,义,Nghĩa,Nghĩa khí đạo lý,2,1,Nam,Dương,trung thành,đúng đắn,Mộc,5
81,毅,Nghị,Nghị lực kiên cường,2,1,Nam,Dương,vươn lên,mạnh mẽ,Mộc,4
82,玉,Ngọc,Viên ngọc quý giá,2,1,Trung,Dương,hoàn mỹ,đắt giá,Thổ,5
83,原,Nguyên,Thảo nguyên nguồn gốc,2,1,Trung,Âm,bao la,khởi nguồn,Thổ,5
84,月,Nguyệt,Mặt trăng dịu dàng,2,1,Nữ,Dương,nhẹ nhàng,thơ mộng,Thổ,4
85,仁,Nhân,Nhân ái người,2,1,Trung,Âm,yêu thương,đạo đức,Kim,5
86,日,Nhật,Mặt trời ban ngày,2,1,Trung,Dương,soi sáng,nhiệt thành,Hỏa,5
87,儿,Nhi,Trẻ nhỏ nhỏ nhắn,2,1,Nữ,Âm,đáng yêu,vui tươi,Kim,5
88,然,Nhiên,Tự nhiên an nhiên,2,1,Trung,Âm,thoải mái,chân thật,Hỏa,5
89,绒,Nhung,Gấm nhung mềm mại,2,1,Nữ,Âm,sang trọng,êm ái,Hỏa,5
90,如,Như,Như ý hài lòng,2,1,Nữ,Âm,vừa ý,nhẹ nhàng,Kim,5
91,莺,Oanh,Chim oanh hót hay,2,1,Nữ,Âm,líu lo,vui vẻ,Hỏa,4
92,风,Phong,Gió phóng khoáng,2,1,Nam,Âm,tự do,lãng tử,Thủy,5
93,富,Phú,Giàu có trù phú,2,1,Nam,Dương,sung túc,thịnh vượng,Thủy,5
94,福,Phúc,Hạnh phúc may mắn,2,1,Nam,Dương,viên mãn,tốt lành,Thủy,5
95,凤,Phụng,Phượng hoàng,2,1,Nữ,Dương,quyền quý,bất tử,Hỏa,4
96,方,Phương,Phương hướng thơm,2,1,Trung,Âm,đúng đắn,lan tỏa,Mộc,5
97,光,Quang,Ánh sáng rạng rỡ,2,1,Nam,Âm,minh bạch,vinh quang,Hỏa,5
98,军,Quân,Quân đội binh lính,2,1,Nam,Âm,kỷ luật,mạnh mẽ,Mộc,5
99,国,Quốc,Đất nước tổ quốc,2,1,Nam,Dương,rộng lớn,trách nhiệm,Mộc,5
100,娟,Quyên,Xinh đẹp thanh tú,2,1,Nữ,Âm,duyên dáng,thướt tha,Mộc,4
101,琼,Quỳnh,Hoa quỳnh ngọc đẹp,2,1,Nữ,Âm,kín đáo,thanh tao,Mộc,5
102,权,Quyền,Quyền lực uy quyền,2,1,Nam,Âm,lãnh đạo,sức mạnh,Mộc,4
103,桑,Sang,Cây dâu tằm,2,1,Nam,Âm,bền bỉ,mộc mạc,Mộc,4
104,参,Sâm,Sâm quý rừng già,2,1,Nam,Âm,quý giá,bổ dưỡng,Mộc,3
105,山,Sơn,Núi non vững chãi,2,1,Nam,Âm,kiên định,hùng vĩ,Thổ,5
106,双,Song,Đôi cặp song hành,1,1,Trung,Âm,cân bằng,có đôi,Kim,3
107,才,Tài,Tài năng tiền tài,2,1,Nam,Âm,giỏi giang,giàu có,Thủy,5
108,心,Tâm,Trái tim tấm lòng,2,1,Trung,Âm,nhân ái,sâu sắc,Kim,5
109,新,Tân,Mới mẻ cải cách,2,1,Trung,Âm,sáng tạo,hiện đại,Kim,4
110,进,Tấn,Tiến lên thăng chức,2,1,Nam,Dương,phát triển,thành công,Hỏa,4
111,泰,Thái,Thái bình to lớn,2,1,Nam,Dương,bình yên,vững vàng,Thổ,5
112,清,Thanh,Thanh khiết trong xanh,2,1,Trung,Âm,trong sáng,cao thượng,Thủy,5
113,诚,Thành,Chân thành thành công,2,1,Nam,Âm,trung thực,hoàn thành,Kim,5
114,草,Thảo,Cỏ cây hiếu thảo,2,1,Nữ,Dương,tươi mát,ngoan ngoãn,Mộc,5
115,胜,Thắng,Chiến thắng vượt qua,2,1,Nam,Dương,thành công,đánh bại,Kim,4
116,盛,Thịnh,Thịnh vượng đầy đủ,2,1,Nam,Dương,phát đạt,sung túc,Kim,4
117,善,Thiện,Thiện lương tốt đẹp,2,1,Nam,Dương,tốt bụng,nhân từ,Kim,4
118,秋,Thu,Mùa thu êm đềm,2,1,Nữ,Âm,lãng mạn,dịu dàng,Kim,5
119,水,Thuỷ,Nước mềm mại,2,1,Nữ,Dương,uyển chuyển,sâu sắc,Thủy,5
120,书,Thư,Sách vở thư thái,2,1,Nữ,Âm,tri thức,nhàn hạ,Kim,5
121,商,Thương,Buôn bán thương yêu,2,1,Nữ,Âm,tình cảm,giao thiệp,Kim,4
122,瑞,Thụy,Ngọc thụy điềm lành,2,1,Nữ,Dương,may mắn,bình an,Kim,3
123,信,Tín,Uy tín tin tưởng,2,1,Nam,Dương,trách nhiệm,đáng tin,Kim,5
124,情,Tình,Tình cảm tình yêu,2,1,Trung,Âm,ấm áp,gắn bó,Kim,3
125,秀,Tú,Tuấn tú ưu tú,2,1,Trung,Dương,xuất sắc,đẹp đẽ,Kim,5
126,俊,Tuấn,Tuấn tú tài giỏi,2,1,Nam,Dương,đẹp trai,hào hoa,Hỏa,5
127,松,Tùng,Cây tùng quân tử,2,1,Nam,Âm,nghiêm nghị,trường thọ,Mộc,5
128,祥,Tường,Cát tường điềm lành,2,1,Nam,Âm,may mắn,tốt đẹp,Hỏa,4
129,泉,Tuyền,Suối nguồn trong trẻo,2,1,Nữ,Âm,tinh khiết,trôi chảy,Thủy,4
130,雪,Tuyết,Tuyết trắng tinh khôi,2,1,Nữ,Dương,lạnh lùng,trong trắng,Thủy,4
131,鸳,Uyên,Chim uyên ương,2,1,Nữ,Âm,có đôi,uyên bác,Thổ,5
132,威,Uy,Uy quyền oai nghiêm,2,1,Nam,Âm,kính nể,mạnh mẽ,Thổ,4
133,云,Vân,Mây bay phiêu lãng,2,1,Nữ,Âm,nhẹ nhàng,tự do,Thủy,5
134,微,Vi,Nhỏ bé tinh tế,2,1,Nữ,Âm,chi tiết,khéo léo,Thủy,4
135,伟,Vĩ,Vĩ đại to lớn,2,1,Nam,Dương,hùng vĩ,lớn lao,Thổ,4
136,越,Việt,Vượt qua ưu việt,2,1,Nam,Dương,xuất sắc,dân tộc,Kim,5
137,荣,Vinh,Vinh quang vinh dự,2,1,Nam,Âm,nổi tiếng,tự hào,Mộc,5
138,永,Vĩnh,Vĩnh viễn lâu dài,2,1,Nam,Dương,bền vững,trường tồn,Thổ,4
139,武,Vũ,Võ thuật mạnh mẽ,2,1,Nam,Dương,sức mạnh,oai phong,Thủy,5
140,薇,Vy,Hoa tường vi,2,1,Nữ,Âm,xinh xắn,nhỏ nhắn,Mộc,5
141,春,Xuân,Mùa xuân tươi trẻ,2,1,Trung,Âm,sức sống,vui vẻ,Mộc,5
142,川,Xuyên,Dòng sông xuyên qua,1,1,Trung,Âm,trôi chảy,kết nối,Kim,3
143,安,Yên,Yên bình an tĩnh,2,1,Nữ,Âm,tĩnh lặng,an tâm,Thổ,4
144,燕,Yến,Chim yến tiệc tùng,2,1,Nữ,Dương,vui vẻ,cao sang,Hỏa,5
